movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
man-of-steel;10;ricksroses;/user/ricksroses;Jul  6, 2013;"[ ""OH YA!!!  This one is way better than I thought.... (just another superman movie... more  & an over used DC franchise)...  I have to say that for two and a half hours I was frequently & pleasantly surprised... Superb acting, very good story line and just plain fun to watch... This DVD is going to  purchased for my 3D TV..."" ]";6.0;7.0;6.0;1.0;inf;10
forrest-gump;10;voiders;/user/voiders;Apr 30, 2013;[];0.0;1.0;0.0;1.0;inf;10
cast-away;10;voiders;/user/voiders;Apr 30, 2013;[];0.0;1.0;0.0;1.0;inf;10
up;10;voiders;/user/voiders;Apr 26, 2013;[];0.0;0.0;0.0;0.0;inf;10
lee-daniels-the-butler;9;ricksroses;/user/ricksroses;Sep 12, 2013;"[ ""I really liked this movie... It was well acted and had a great story attached to it. It was, however,  sad to see such a self absorbed society that treated people so poorly.  I must say that I find it inspirational how this man lifted himself above the reproach of such a cruel society. I was impressed with his moral out look and his tenacity to stay focused on importance of job and family even though he had to fight through much racism. This is a great movie."" ]";1.0;3.0;1.0;2.0;inf;9
prisoners;9;ricksroses;/user/ricksroses;Oct 10, 2013;"[ ""O K.... I was impressed with the fact that there was no eye popping special effects or slick or outstanding  on location shooting. This was filmed in an average neighborhood  and a slum type of area and so to get this many excellent reviews only two things can hold up a movie such as this and that is story line and acting... Both of which are excellent"" ]";0.0;0.0;0.0;0.0;inf;9
the-east;9;ricksroses;/user/ricksroses;Jun 27, 2013;"[ ""I have to say that this is a very good movie.... I find the acting superb the story line also very good and for this type of suspenseful drama  it was beyond antiquate  to keep my attention and interest for the entire movie. it provides a lot of fascinating looks at the way we live and how society reacts and acts about some difficult questions that need some answers in regards to our respect of our planet and the people who inhabit it."" ]";0.0;0.0;0.0;0.0;inf;9
now-you-see-me;9;ricksroses;/user/ricksroses;Jun 22, 2013;"[ ""I liked a lot of things about this movie... I liked the story line, I liked the acting, I liked the cinematography, I liked the cast, but most of all I liked the fact that there was NO vulgar language or graphic sex scenes as seem to pervade most movies these days. It seems that the only way people communicate these days is with a lot of vulgar language.... It was so nice to set through a movie that I did not think to myself, is there any one who has enough of a vocabulary that they can write a script that contains  a higher level of communication.  I would categorize this movie as a type of old time classic... and give it a Bravo"" ]";0.0;1.0;0.0;1.0;inf;9
star-trek;9;ricksroses;/user/ricksroses;Jun 22, 2013;"[ ""While I think that maybe the original cast is missed by most star trek fans, I think the cast selection,  conversion,  and the alternate reality could have had some problems I find that it was done seamlessly and the new cast fit in beautifully. I liked this movie a lot."" ]";0.0;1.0;0.0;1.0;inf;9
the-way-way-back;9;Edeltraud;/user/Edeltraud;Dec  4, 2013;"[ ""Some movies are just meant to tell a little story and not be some big deal. That's all this was and it succeeded. If you can't relate to someone in this movie, well you live a nice life. OK, I would have given this an 8, but honest to dog, it made me cry a little. That never happens. Even the hokey predictable ending was satisfying. The story didn't spin off into some complex plot, it just moved along character-driven, illustrating the pitfalls of blending families. It's the first time I enjoyed Carell, he was believable for a change. I was so happy the kid met Rockwell, everyone needs an adult who isn't a parent."" ]";2.0;2.0;2.0;0.0;inf;9
